RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
79038,48178,Michigan,1547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260500,277100,273100,268900,251100,262200,267900,275600,288300,295100,301400,284400,284300,289700,288700,283500,300500,319400,325900,337200,322900,328900,299200,294700,284e3,296300,317800,307100,289900,282100,326400
72776,33713,Florida,1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119300,118500,122200,124500,127900,132400,133100,135300,135800,140800,144500,147700,150600,150400,146500,146100,149600,157600,157800,158400,163100,169900,165500,162100,163300,169200,170700,168600,166400,175600,178600,186e3,183300,187900,194200,187900,189400,182800,184100,175600
84592,60565,Illinois,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363200,363300,343200,310600,281300,287900,32e4,329700,332900,335400,370300,373e3,373900,356400,360400,358700,334900,340200,345500,363400,353500,350800,334600,340400,339300,349400,304400,304e3,304900,341200,335900,336200,337900,329500,330700,31e4,315800,315500,309e3,323900,321900,333300,321e3,319900,324100,325700,272e3,274700,276900,316100,311600,306200,326700,328400,332400,325800,329e3,334800,339200,340400,339700,326200,318900,328500,351500,348800,326800,322400,346700,366200,347500,333200,335200,362700
86315,64068,Missouri,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151200,146500,158500,158100,169300,166100,165900,166e3,169800,163300,157800,158500,160700,163400,159200,159600,153e3,161300,162100,177500,166100,167300,159200,164800,168200,172300,174100,173800,170200,169300,177100,174700,174e3,168100,170900,167900,164500,161400,163e3,168800,173800,181500,176600,171600,173e3,182800,201800,201400,197400,199600,199300,195900,183700,179100,192900,195e3,199200,199500,201100,203e3,192e3,191600,187200,193100,197900,205300,206800
61152,08723,New Jersey,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235800,220800,213900,213100,215e3,21e4,205100,211700,201500,207300,197400,207100,211200,214e3,221600,222200,239700,239500,249700,236800,238800,234500,234e3,234600,232400,232100,237700,240700,257900,255700,246200,239e3,239700,250900,230800,221900,217600,229700,238600,238300,
93207,80017,Colorado,1552,121200,112900,113e3,113200,112200,118700,119e3,119e3,113500,110700,116400,119100,113300,107700,102200,110500,111800,119600,123800,125400,128700,123900,118400,115500,114600,117600,120600,127500,130800,120300,118e3,111300,107200,101700,103900,105500,101e3,101800,104600,113500,103800,107900,109500,11e4,110500,99800,116700,121400,130300,115300,112100,110400,124200,130600,138500,138700,142500,143300,154900,143900,132500,129700,137200,154300,155600,160900,163700,164300,173300,175900,174300,166100,166100,168200,173800,168500,172700,177300,184e3,182500,176800,171e3,175500,180400,19e4,186900,187300,197600,204700,208700,208700,216200,219e3,217e3,225900,225600,228400,221400,224200,225400,221400,223800,225400,230600,233300,237100,239900,250200,255500,260900,257600,259800,251e3,251200,253200,261100,268500,265e3,277600,284e3,284400,270100,265300,276700,286400,294800,282300,285500,281200,281700
96463,91701,California,1553,428400,405300,386300,369800,37e4,374200,358e3,352800,329900,320100,323e3,345500,346300,326200,295800,295600,311800,330200,323300,326400,330400,362600,364400,353800,344800,333700,334800,315300,309500,312600,317100,321600,334300,330900,332100,318500,331200,344800,346900,334400,306e3,305e3,326400,332200,330700,311600,317100,312e3,305900,309800,305200,312500,307e3,316600,313800,328100,341400,350400,347500,348600,360100,375e3,388300,397600,410800,408900,410800,409800,405300,401300,402700,406800,416100,408800,423600,423600,420500,409200,395500,402800,418200,438100,435600,435700,440300,444900,431800,418100,419400,430400,442600,466300,465800,445500,440200,443e3,461200,458400,450500,448100,444100,461400,463500,452700,443200,454600,468e3,469400,458900,460300,463e3,479600,484100,48e4,49e4,488200,502300,497700,500900,495800,507100,514800,544700,534600,544e3,524800,526300,517800,522300,527400
71765,32065,Florida,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117200,96300,87400,83e3,86300,94e3,98900,109200,112400,107e3,91200,75300,74400,77100,87700,95200,92700,99900,94500,94900,82400,85800,93e3,98300,108300,110600,120800,121700,133700,134500,130500,112400,109500,112100,128200,140600,142500,152300,142900,149700,149e3,149100,152200,148e3,153200,161e3,176800,191300,206900,189700,180300,167100,177e3,198100,202600,194200,186100,192400,227500
80281,50310,Iowa,1555,126500,129300,132100,130200,123900,121600,122900,128600,130500,128200,125300,124500,124300,125900,125100,125600,117400,113700,116600,123500,124500,120700,117400,119900,121200,122700,121100,121700,119e3,121e3,117100,121400,112200,112500,109800,107200,103300,99900,105500,107500,108500,111e3,112200,119400,118400,114100,97300,94100,96700,107800,109900,118500,117600,120800,118800,117800,121400,121200,126400,127200,129200,132e3,128100,125600,123500,123600,124800,120800,120300,116200,120100,116800,118200,118200,120800,124700,125300,126e3,122400,121400,124300,125200,126700,128100,133400,134300,134900,129600,126800,125700,129500,135100,135100,136300,133e3,131600,127500,129100,132300,140600,144e3,145600,142200,142e3,140700,147400,151900,155400,151600,144800,145e3,144500,142300,143600,147900,159200,160300,156100,153200,157200,160500,159500,156100,156100,155100,152e3,152400,156900,162e3,159500
82123,55122,Minnesota,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138600,162300,158800,148400,150200,156800,163600,166e3,169500,168400,161100,168600,168400,180800,196700,210600,200600,189400,186100,205e3,207200,207e3,183500,209100,213900,228300,203800,200100,187700,194500,194200,211500,209e3,208600,205100,204900,196400,194200,197200,211600,216100,213600,204e3,198400,200400,207800,212100,207800,206800,206100,204600,206400,206300,204300,209200,234100,259600,258800,235300,228400,229200,238800,230700,229e3,224200,221800,225700,225600,247e3,247100,250900,225200,219400,217600,227600,231600,231e3,231600,231300,252800,255400,250400,223800,225900,246700,241100,240700,234e3,253e3,245200,247100
