RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
761762,Cochran's Crossing,Texas,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379700,380800,296900,292300,300500,309100,383600,373300,361600,308300,347500,374400,357e3,338900,322300,353300,361700,378700,364600,364900,348100,337e3,302e3,304100,341100,360800,409700,404200,405e3,348800,355600,349400,381200,320200
213529,Mount Airy West,Pennsylvania,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283900,280700,258800,269100,241600,237700,248600,267300,263700,240500,260100,260200,292400,297400,286e3,272400,257400,256700,251700,255500,287600,294900,302500,288400,295300,293100,299e3,287100,304600,306700,322500,293100,302700,305700,341700,332600,304600,277300,266900,312800,304900,331300
275702,The Fan,Virginia,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345100,353300,362900,377100,401500,396500,446800,428200,419700,408900,432700,415300,449700,389800,438700,373900,393300,367200,377800,405600,396900,367100,344400,337500,360300,361e3
761963,North Central,Oregon,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196900,197900,203700,204500,204800,199900,203700,205500,206e3,206600,208300,217500,219400,220300,221200,221600,227700,232800,236e3,235600,239600,232e3,233500,228900,244500,261e3,259100,257300,242700,263e3,285e3,284400,275500,258100,263900,268500,276800,288800,298300,302800,302200,298900,311600,304300,307500,283700,289600,280100,288900,296500,314700,322500,323100,323200,324100,317200
273243,Chisholm Creek,Kansas,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140500,145e3,136e3,134100,132400,130300,134200,138500,138e3,137500,134800,136600,127800,118500,120300,129e3,139200,143300,145600,145400,142200,145100,147800,151600,141900,137600,136700,144300,143100,145500,147400,149500,151e3,154100,158500
28014,Woodcrest,California,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473e3,453200,444800,429200,510100,487900,514600,475800,502300,514e3,510100,532700,518600,523300,566e3,531900,541100,497700,517400,492800,500300,539300,610600,634400,635e3,603400,641900,637900,619100,543500,521300,526300,561e3,559900,603400
270268,Tower Grove South,Missouri,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145400,155100,159100,148200,161700,164600,186600,170800,174700,154100,154300,141700,137900,125900,142600,155600,146200,147100,143e3,159400,162800,168900,170300,171400,179e3,196900,183400,172e3,167400,173400,167700,139700,130300,126e3,156300,157e3,169300
271850,Downtown,Washington,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632300,583600,595300,598600,658500,645600,657700,596200,593e3,594800,621200,610100,628900,657800,661700,676600,666400,655700,586600,572400,601400,624e3,636800,637100,637900,638900,635e3,632500,614300,636900,718500,781700,786400,756100,778600,801100,750300,757500,758800,885600,786800,854600,731500,866e3,871700,931900,938400,918e3,965600,898700,788500,770100,738900
193555,Bulls Head,New York,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383100,377400,360600,386100,391100,407200,385100,394400,391200,381400,366400,389600,407300,433500,427100,422100,396900,402900,412400,420900,431600,448400,454100,438900,447300,427600,449400,426700,454600,437300,427200,442500,451e3,472900,486400,496900,492800,476600,463e3,481100,497300,551200,58e4
738023,Education Hill,Washington,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512800,510500,581600,572e3,623500,505400,507800,456200,489800,494900,492500,520500,521400,531600,529400,548300,586500,592e3,603200,548900,559700,564200,604800,614900,609800,646800,663900,714600,697700,710300,716700,744200,759400,742600,703500,700400,720800,739200,739e3,708500,669800,672600,729e3,826e3,828e3,813800,765500,766400,754700,770900,803500,835100
